Streams,BPM,Danceability,Valence,Energy,Acousticness,Liveness,Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,High Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Low Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
